author,title,position
"Rowling, J.K.; Tiffany, John; Thorne, Jack",Harry Potter und das verwunschene Kind,1
"Fitzek, Sebastian",Das Paket,2
"Ferrante, Elena",Meine geniale Freundin,3
"Neuhaus, Nele",Im Wald,4
"Beckett, Simon",Totenfang,5
"Brandt, Matthias",Raumpatrouille,6
"Link, Charlotte",Die Entscheidung,7
"Klüpfel, Volker; Kobr, Michael",Himmelhorn,8
"Harris, Robert",Konklave,9
"Ransmayr, Christoph",Cox,10
"Hirschhausen, Dr. med. Eckart von",Wunder wirken Wunder,1
"Wohlleben, Peter",Das geheime Leben der Bäume,2
"Wulf, Andrea",Alexander von Humboldt und die Erfindung der Natur,3
"Willemsen, Roger",Wer wir waren,4
"Wohlleben, Peter",Das Seelenleben der Tiere,5
"Springsteen, Bruce",Born to Run,6
"Biermann, Wolf",Warte nicht auf bessre Zeiten,7
"Krüger, Hardy",Was das Leben sich erlaubt,8
"Lichter, Horst",Keine Zeit für Arschlöcher!,9
"Englisch, Andreas",Franziskus,10
"Coelho, Paulo",Die Spionin,11
"Heidenreich, Elke",Alles kein Zufall,12
"Riley, Lucinda",Die Schattenschwester,13
"Borrmann, Mechtild",Trümmerkind,14
"Zeh, Juli",Unterleuten,15
"Moyes, Jojo",Ein ganz neues Leben,16
"Williams, John",Augustus,17
"Elsberg, Marc",HELIX. Sie werden uns ersetzen,18
"Hacke, Axel","Die Tage, die ich mit Gott verbrachte",19
"Kirchhoff, Bodo",Widerfahrnis,20
"Precht, Richard David",Tiere denken,11
"Lesch, Harald; Kamphausen, Klaus",Die Menschheit schafft sich ab,12
"Emcke, Carolin",Gegen den Hass,13
"Lange, Bernd-Lutz",Das gabs früher nicht,14
"Preisendörfer, Bruno",Als unser Deutsch erfunden wurde,15
"Jakobs, Hans-Jürgen",Wem gehört die Welt?,16
"Bacon, Jehuda; Lütz, Manfred","""Solange wir leben, müssen wir uns entscheiden.""",17
"Collins, Phil",Da kommt noch was. Not dead yet,18
"Schießler, Rainer M.","Himmel, Herrgott, Sakrament",19
"Zamperoni, Ingo",Fremdes Land Amerika,20
"McEwan, Ian",Nussschale,21
"Kutscher, Volker",Lunapark,22
"Prange, Peter",Unsere wunderbaren Jahre,23
"Mankell, Henning",Die schwedischen Gummistiefel,24
"Meyer, Stephenie",The Chemist. Die Spezialistin,25
"Wells, Benedict",Vom Ende der Einsamkeit,26
"McFadyen, Cody",Die Stille vor dem Tod,27
"Sweeney, Cynthia D'Aprix",Das Nest,28
"Korn, Carmen",Töchter einer neuen Zeit,29
"Safier, David",Traumprinz,30
"Käßmann, Margot","Sorge dich nicht, Seele",21
"Roper, Lyndal",Der Mensch Martin Luther,22
"Dalai Lama; Alt, Franz",Der Appell des Dalai Lama an die Welt,23
"Steinmeier, Frank-Walter",Flugschreiber,24
"Gardiner, Sir. John E.",Bach,25
"Englisch, Andreas",Der Kämpfer im Vatikan,26
"Kershaw, Ian",Höllensturz,27
"Strøksnes, Morten A.",Das Buch vom Meer,28
"Frankopan, Peter",Licht aus dem Osten,29
"Dalai Lama; Tutu, Desmond; Abrams, Douglas",Das Buch der Freude,30
"Glaser, Brigitte",Bühlerhöhe,31
"Hansen, Dörte",Altes Land,32
"Foer, Jonathan Safran",Hier bin ich,33
"Hannah, Kristin",Die Nachtigall,34
"Lucas, Charlotte",Dein perfektes Jahr,35
"Slaughter, Karin",Blutige Fesseln,36
"Meyerhoff, Joachim","Ach, diese Lücke, diese entsetzliche Lücke",37
"Ahern, Cecelia",Flawed. Wie perfekt willst du sein?,38
"King, Stephen",Mind Control,39
"Jonasson, Jonas",Mörder Anders und seine Freunde....,40
"Bosbach, Wolfgang",Endspurt,31
"Leiris, Antoine",Meinen Hass bekommt ihr nicht,32
"Salm, Christiane",Weiterleben,33
"Schmid, Wilhelm",Gelassenheit,34
"Kruecken, Stefan",Sturmwarnung,35
"Marshall, Tim",Die Macht der Geographie,36
"Brahm, Ajahn","Der Elefant, der das Glück vergaß",37
"Brahm, Ajahn","Die Kuh, die weinte",38
"Küper, Wolf",Eine Million Minuten,39
"Maschmeyer, Carsten",Die Millionärsformel,40
"Kermani, Navid",Sozusagen Paris,41
"Fellowes, Julian",Belgravia,42
"Groen, Hendrik",Eierlikörtage,43
"Riley, Lucinda",Die Sturmschwester,44
"Kehlmann, Daniel",Du hättest gehen sollen,45
"Lark, Sarah",Das Jahr der Delfine,46
"Bogdan, Isabel",Der Pfau,47
"Gardam, Jane",Ein untadeliger Mann,48
"Durst-Benning, Petra",Das Weihnachtsdorf,49
"Lennox, Judith",Die Frau des Juweliers,50
"Sebag Montefiore, Simon",Die Romanows,41
"Bakewell, Sarah",Das Café der Existenzialisten,42
"Abdel-Samad, Hamed",Der Koran,43
"Wagenknecht, Sahra",Reichtum ohne Gier,44
"Münkler, Herfried; Münkler, Marina",Die neuen Deutschen,45
"Pulver, Liselotte",Dem Leben ins Gesicht gelacht,46
"Stuckrad-Barre, Benjamin von",Panikherz,47
"Thöns, Matthias",Patient ohne Verfügung,48
"Benedikt XVI.; Seewald, Peter",Letzte Gespräche,49
"Sinn, Hans-Werner",Der Schwarze Juni,50
